,valid_time,latitude,longitude,site_name,horizon,GHI,Clear sky GHI,GHI_NWP_ens_000,GHI_NWP_ens_001,GHI_NWP_ens_002,GHI_NWP_ens_003,GHI_NWP_ens_004,GHI_NWP_ens_005,GHI_NWP_ens_006,GHI_NWP_ens_007,GHI_NWP_ens_008,GHI_NWP_ens_009,GHI_NWP_ens_010,GHI_NWP_ens_011,GHI_NWP_ens_012,GHI_NWP_ens_013,GHI_NWP_ens_014,GHI_NWP_ens_015,GHI_NWP_ens_016,GHI_NWP_ens_017,GHI_NWP_ens_018,GHI_NWP_ens_019,GHI_NWP_ens_020,GHI_NWP_ens_021,GHI_NWP_ens_022,GHI_NWP_ens_023,GHI_NWP_ens_024,GHI_NWP_ens_025,GHI_NWP_ens_026,GHI_NWP_ens_027,GHI_NWP_ens_028,GHI_NWP_ens_029,GHI_NWP_ens_030,GHI_NWP_ens_031,GHI_NWP_ens_032,GHI_NWP_ens_033,GHI_NWP_ens_034
93,2019-01-02 20:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2019-01-02 20:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2019-01-02 20:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2019-01-02 21:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2019-01-02 21:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2019-01-02 21:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2019-01-02 21:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2019-01-02 22:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2019-01-02 22:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2019-01-02 22:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2019-01-02 22:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2019-01-02 23:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2019-01-02 23:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2019-01-02 23:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2019-01-02 23:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2019-01-03 00:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2019-01-03 00:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2019-01-03 00:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2019-01-03 00:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2019-01-03 01:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2019-01-03 01:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 07:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2019-01-03 01:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2019-01-03 01:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2019-01-03 02:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2019-01-03 02:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2019-01-03 02:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2019-01-03 02:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 08:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2019-01-03 03:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2019-01-03 03:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 09:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2019-01-03 03:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2019-01-03 03:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 09:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2019-01-03 04:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2019-01-03 04:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 10:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2019-01-03 04:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2019-01-03 04:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 10:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,2019-01-03 05:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2019-01-03 05:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 11:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2019-01-03 05:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2019-01-03 05:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 11:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2019-01-03 06:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2019-01-03 06:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 12:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,2019-01-03 06:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2019-01-03 06:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 12:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2019-01-03 07:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2019-01-03 07:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 13:15:00,1.8256,1.8256,0.8783520088844206,0.911645301242356,0.9031416881747003,1.486780052315575,1.4965093466370716,0.938636715485453,0.9080229935441433,1.5047032479966342,1.4786927034620745,1.4974886473906464,0.8965233723100821,0.8746897269425715,1.4933750521452516,1.4745225576228749,0.928364426318703,0.9036795805055786,0.9189248292973097,0.8878981311257033,0.8721399704945927,0.8928977220556575,0.9116153546673513,0.8713988643893413,1.482220123493237,0.9290389405184349,0.8955424343861191,0.8909874852903807,0.9042991130664569,0.9159820428115943,0.8878431767730263,0.9075367539389971,1.4898443714164038,0.868364450934261,0.8868655677621817,0.8949894800876739,0.8931091898973985
138,2019-01-03 07:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 13:30:00,8.3875,8.3875,2.3313812419776054,2.419750547793346,2.397179683499254,3.9463120592363046,3.972136209519316,2.491392982972291,2.410135973983678,3.9938850160741817,3.924846071541545,3.97473553573938,2.3796129024090034,2.32166056582989,3.963816953331426,3.9137773887270444,2.4641275790871817,2.3986073936629797,2.4390723629495707,2.3567192045505188,2.3148928300083784,2.369989456560827,2.4196710615708215,2.3129257361159277,3.93420878809487,2.465917920245164,2.3770092307006916,2.364919177086014,2.4002517988406495,2.431261420249439,2.356573340995013,2.4088453639741623,3.954445582014011,2.304871590923542,2.353978505112801,2.375541542045088,2.3705507487927964
139,2019-01-03 07:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 13:45:00,16.8952,16.8952,4.5789960607679845,4.752559567215284,4.708228808766222,7.750833303641131,7.80155374364874,4.893270328098793,4.73367587080058,7.844269923116954,7.708672600224207,7.806659002414667,4.673726420240355,4.559903971929424,7.785214141773695,7.686932931870997,4.839719165064102,4.711032931531692,4.7905089655780255,4.628761594057962,4.5466116647301416,4.654825298520582,4.752403450706634,4.542748154540339,7.727061631346118,4.843235520502768,4.66861262663113,4.644866914484483,4.714262658482943,4.775167726997738,4.628475107817938,4.731141022341155,7.766808112088888,4.526929249230154,4.623378668390081,4.66572998330732,4.655927715779869
140,2019-01-03 08:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 14:00:00,26.1343,26.1343,7.476789687869866,7.760191948534418,7.687806702242719,12.655907484520263,12.738726088812646,7.989950776011915,7.729357803942764,12.808474978288558,12.58706560119964,12.747062183796878,7.631469658202148,7.445615270802535,12.712046055639012,12.551568097815952,7.902510040480015,7.692385399384658,7.822157424497682,7.558049077739585,7.423910996748427,7.60060706079256,7.759937034512543,7.4176024844101915,12.617092034163889,7.908251703004683,7.623119627143826,7.584346565679473,7.697659042087835,7.797107563590615,7.557581290186,7.725218789938333,12.681991866660539,7.391772667889941,7.549259595811655,7.618412718120267,7.602407137029053
141,2019-01-03 08:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 14:15:00,35.5199,35.5199,10.603814346145487,11.00574419609704,10.903085201378698,17.948999363399217,18.066455269073284,11.331595270243483,10.96201425872799,18.16537530102929,17.851365675620727,18.078277776763723,10.823186263364429,10.559601823828912,18.02861682097822,17.801022018604,11.20758411511163,10.909578851256146,11.09362555031662,10.719058925708492,10.528820151186576,10.779415973329115,11.005382669148304,10.519873223905265,17.89395009138227,11.215727118458183,10.81134399110276,10.756354836323306,10.917058094418907,11.058099062941126,10.718395494934223,10.956144181072833,17.98599304077898,10.483240579359961,10.70659341063405,10.804668507169996,10.781968897112922
142,2019-01-03 08:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 14:30:00,44.7472,44.7472,13.763803758022403,14.285510702206647,14.152258816500748,23.297890440763695,23.450348790480685,14.70846701702771,14.228749026016322,23.578747483925813,23.171161428458454,23.46569446426062,14.048549597590995,13.706415684170118,23.40123429666857,23.105815111272957,14.547499920912818,14.160687606337019,14.39958113705043,13.913391795449481,13.666460919991621,13.991735543439173,14.285041438429179,13.654847763884074,23.22643621190513,14.558069579754836,14.033178269299308,13.961802072913992,14.17039570115935,14.35346757975056,13.912530659004993,14.22112963602584,23.34590841798599,13.607298409076458,13.897211494887198,14.02451345795491,13.995049251207199
143,2019-01-03 08:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 14:45:00,53.2967,53.6382,16.851602681579653,17.490350392181796,17.327204515216042,28.52458520399107,28.711246361043862,18.008193562161264,17.420854689430126,28.868450271010254,28.36942555472971,28.730034713592833,17.20022896527292,16.78134005387718,28.651113424671074,28.289419315664244,17.811114789735818,17.337524236414087,17.63001161370873,17.034749594813515,16.732421758977793,17.130669133984405,17.48977585284152,16.7182032844889,28.437100792282468,17.82405566672135,17.18140920282835,17.09402032955219,17.349410264405854,17.57355284987328,17.033695269318013,17.411525950438133,28.583375629076254,16.6599866134966,17.014939373661154,17.170800510590823,17.13472624549888
144,2019-01-03 09:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 15:00:00,54.6663,62.0379,29.583537084671494,30.227470533199266,30.031808042140995,39.34343378800933,39.57060795935986,30.818219706652805,30.146561651717107,39.70780890191516,37.322670631434605,39.532762128869805,30.0444173234165,29.52838220133185,39.48807537298328,38.21495666549597,30.571063467055033,30.086637721319107,30.471547539058122,29.809648235380735,29.585562059788536,29.755445341768727,30.166595509752113,29.37224466678399,39.216342881840504,30.55326277982874,29.923681485269793,29.70259079519233,30.102980089069167,30.223190150853128,29.712770102304553,30.162271788379186,38.08742655236175,28.335338678842962,29.722451834414098,29.878094210753844,29.871627821335665
145,2019-01-03 09:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 15:15:00,56.2295,69.8501,43.14581884139041,43.777302592255694,43.550419239329926,50.46380587199801,50.730350982238754,44.43372751761342,43.68578327593143,50.84101974257355,46.38994548971325,50.62951081149116,43.72058364279946,43.10932436224179,50.62482503606323,48.35681534751063,44.136948353357475,43.654043898069006,44.13256361960774,43.41410426265398,43.28490772350111,43.19160805772187,43.6499405579327,42.85241534140495,50.29552276197932,44.08487574331819,43.487983349570385,43.12192320685001,43.67496291904389,43.67417370660685,43.211575300518945,43.72937328858971,47.756080741336035,40.737802131884976,43.2531534276941,43.40412114527764,43.4313343902434
146,2019-01-03 09:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 15:30:00,62.3651,77.0353,57.41239638476627,58.01370370735231,57.75722476751553,61.77769206515411,62.08205653072448,58.72782569083074,57.91249313445047,62.15985031788138,55.48156468684984,61.91241663734412,58.10155234536145,57.39797110360186,61.95316720861284,58.61577024110413,58.38238220299952,57.913491832368265,58.48588314037987,57.72163276070452,57.70322487263854,57.314140013233214,57.81426012565333,57.03343683145458,61.56702538003883,58.292808275118574,57.748140890865116,57.2271617007123,57.939063321769666,57.80121419020168,57.40456669173094,57.986558813267955,57.49423210957153,53.7517097115374,57.48122200251811,57.62305145559689,57.68772772192928
147,2019-01-03 09:45:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 15:45:00,69.9338,83.5348,72.25938370092769,72.81311629064312,72.52891141839339,73.18833885755359,73.52865666155162,73.57649988301971,72.7032120808896,73.567537456391,64.52031522320242,73.28501894503168,73.0624651009199,72.27023528788146,73.37623362408954,68.90432800421816,73.18375951548053,72.74120608250213,73.40693338797142,72.60800537855152,72.71528046445135,72.00045025500404,72.53663088074514,71.79216287864907,72.93446158678236,73.05378615737189,72.58035705562564,71.89586389709282,72.77146608416906,72.48172456928911,72.16852373916056,72.81008011416071,67.2189992829859,67.26417994413438,72.28312649925698,72.41144984045994,72.51703929234907
148,2019-01-03 10:00:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 16:00:00,79.5348,89.2992,77.78247266328475,78.37852936646081,78.07260151910981,78.78243177412814,79.14876150087844,79.20026158121911,78.26022471517685,79.19061411858465,69.45187459453555,78.88650152778773,78.64693695625219,77.79415368272271,78.98468812884806,74.17097593237979,78.77750241365798,78.30112275831583,79.0177344049524,78.1577409636876,78.27321553611115,77.5037478437855,78.08091101247379,77.27954018620997,78.50914959453851,78.63759464450396,78.12797936302034,77.39116751015229,78.33369565932742,78.02180798043652,77.68466789205131,78.37526112222528,72.3568304404883,72.40546444981274,77.8080302236653,77.94616185817372,78.05982195648136
149,2019-01-03 10:15:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 16:15:00,83.1017,94.2876,82.62608890312802,83.25926283629845,82.9342844620239,83.68831677481974,84.0774583324732,84.13216539013088,83.13359119974662,84.12191716738826,73.77673360396686,83.7988670880661,83.5443845175335,82.63849731491429,83.90316789711117,78.78969955031226,83.68308045663008,83.17703601748843,83.93827200802234,83.02472565109872,83.1473909760804,82.33000752480585,82.94311139840076,82.09183816333808,83.39801695670825,83.53446044782166,82.99311075665744,82.21041666664696,83.21163727562106,82.88032794330674,82.52219370095224,83.25579107422254,76.86258484742638,76.91424736007949,82.65323796619899,82.7999712381359,82.92070909932681
150,2019-01-03 10:30:00+00:00,43.29999999999988,5.399999999999996,marseille,1 days 16:30:00,95.0056,98.4664,86.75608249750258,87.42090508211992,87.07968294486591,87.87140491068948,88.27999737255186,88.33743891517298,87.28895185750258,88.32667844387979,77.46439982710726,87.98748098573365,87.72027832400309,86.76911113302052,88.09699518051394,82.72793454080043,87.86590685966377,87.33456822688584,88.13385394004908,87.17464475855826,87.30344140372164,86.44520174755193,87.08895108802355,86.19512769653275,87.56659470723645,87.70985820824956,87.1414496209606,86.31963324377652,87.3708989989812,87.02302945622513,86.64699418350014,87.41725978701922,80.70449467616235,80.75873949482994,86.78458858301119,86.93865619064309,87.0654290294051
